"source","target","source_lang","target_lang","structure","position"
"Doanh thu","Revenue","vi","en","cell","ĐMCP-KHÁC!D4"
"Tỷ lệ thưởng Sales Incentive và chiết khấu TM","Sales Incentive & Trade Discount Rate","vi","en","cell","ĐMCP-KHÁC!A5"
"Dự phòng cho khối sản xuất","Provision for Production Block","vi","en","cell","ĐMCP-KHÁC!A6"
"Chi phí sản xuất chưa bao gồm dự phòng","Production costs excluding provision","vi","en","cell","ĐMCP-KHÁC!D6"
"Chi phí hoạt động phục vụ Marketting","Marketing Operating Expenses","vi","en","cell","ĐMCP-KHÁC!A7"
"Dự phòng thành phần","Component Provision","vi","en","cell","ĐMCP-KHÁC!A8"
"Các thành phần còn lại","Remaining components","vi","en","cell","ĐMCP-KHÁC!D8"
"Chi phí nước thải CIP và COP dây chuyền sản xuất","Wastewater treatment costs for CIP & COP lines","vi","en","cell","ĐMCP-KHÁC!A9"
"m3 / ngày","m3 / day","vi","en","cell","ĐMCP-KHÁC!D9"
"Định mức hao hụt","Loss Norms","vi","en","cell","ĐMCP-KHÁC!A11"
"Tỷ lệ hao hụt NVL","Raw material loss rate","vi","en","cell","ĐMCP-KHÁC!A12"
"tổng chi phí NVL","Total Raw Material Costs","vi","en","cell","ĐMCP-KHÁC!D12"
"Tỷ lệ hao hụt bao bì","Packaging Loss Rate","vi","en","cell","ĐMCP-KHÁC!A13"
"tổng chi phí bao bì","Total Packaging Costs","vi","en","cell","ĐMCP-KHÁC!D13"
"Định mức bảo trì, bảo dưỡng","Maintenance & Repair Norms","vi","en","cell","ĐMCP-KHÁC!A14"
"_ Năm 1","_ 1st year","vi","en","cell","ĐMCP-KHÁC!A15"
"nguyên giá TSCĐ","Historical Cost of Fixed Assets","vi","en","cell","ĐMCP-KHÁC!D15"
"_ Năm 2","_ 2nd year","vi","en","cell","ĐMCP-KHÁC!A16"
"_ Năm 3","_ 3rd year","vi","en","cell","ĐMCP-KHÁC!A17"
"_ Năm 4","_ 4th year","vi","en","cell","ĐMCP-KHÁC!A18"
"_ Năm 5 trở đi","_ 5th year onwards","vi","en","cell","ĐMCP-KHÁC!A19"
"ĐỊNH MỨC THIẾT KẾ CÔNG SUẤT SẢN XUẤT CỦA  NHÀ MÁY","DESIGNED PRODUCTION CAPACITY NORMS","vi","en","cell","ĐM-TK_CS!A1"
"Nội dung","Items","vi","en","cell","ĐM-TK_CS!A2"
"Điều kiện sản xuất","Production Conditions","vi","en","cell","ĐM-TK_CS!A3"
"Số ngày làm việc sản xuất trong năm","Number of production working days per year","vi","en","cell","ĐM-TK_CS!A4"
"ngày","day","vi","en","cell","ĐM-TK_CS!B4"
"Số ca sản xuất trên ngày","Number of production shifts per day","vi","en","cell","ĐM-TK_CS!A5"
"ca","shift","vi","en","cell","ĐM-TK_CS!B5"
"Số giờ sản xuất trong ngày","Production hours per day","vi","en","cell","ĐM-TK_CS!A6"
"giờ","hour","vi","en","cell","ĐM-TK_CS!B6"
"Số giờ CIP trong ngày","CIP hours per day","vi","en","cell","ĐM-TK_CS!A7"
"Tổng số giờ hữu ích tối đa trong năm","Total maximum effective hours per year","vi","en","cell","ĐM-TK_CS!A8"
"Công suất thiết kế dây chuyền sản xuất","Production line designed capacity","vi","en","cell","ĐM-TK_CS!A9"
"Công suất cơ học thiết kế dây chuyền chai 2L","Designed mechanical capacity for 2L bottle line","vi","en","cell","ĐM-TK_CS!A10"
"1 line*200 chai/giờ","1 line*200 bottle/hour","vi","en","cell","ĐM-TK_CS!B10"
"Hiệu suất sử dụng dự kiến","Expected utilization rate","vi","en","cell","ĐM-TK_CS!A11"
"Công suất theo khai thác dự kiến tăng trưởng theo năm","Operational capacity expected to grow by year","vi","en","cell","ĐM-TK_CS!A12"
"chai/năm","bottole/year","vi","en","cell","ĐM-TK_CS!B12"
"Công suất thiết kế dây chuyền chai CMRX-1K (500ml và 250ml-100ml)","Designed capacity for CMRX-1K bottle line (500ml and 250ml-100ml)","vi","en","cell","ĐM-TK_CS!A14"
"1 line*1500 chai/giờ","1 line*1500 bottle/hour","vi","en","cell","ĐM-TK_CS!B14"
"Công suất thiết kế dây chuyền chai CMRX-Plus (500ml và 250ml)","Designed capacity for CMRX-Plus bottle line (500ml and 250ml)","vi","en","cell","ĐM-TK_CS!A18"
"Sản lượng nhà máy phân bổ theo dây chuyền sản xuất","Plant output allocated by production line","vi","en","cell","ĐM-TK_CS!A18"
"Mã code","Product code","vi","en","cell","ĐM-TK_CS!A23"
"Khoáng vi lượng Cmarox 100000","CMAROX Trace Minerals 100000","vi","en","cell","ĐM-TK_CS!B23"
"Khoáng vi lượng Cmarox 10000","CMAROX Trace Minerals 10000","vi","en","cell","ĐM-TK_CS!B23"
"Khoáng vi lượng Cmarox 1000","CMAROX Trace Minerals 1000","vi","en","cell","ĐM-TK_CS!B23"
"Khoáng vi lượng Cmarox Plus","CMAROX Trace Minerals Plus","vi","en","cell","ĐM-TK_CS!B23"
"Công suất sản xuất & sản lượng","Production capacity & Output","vi","en","cell","ĐM-TK_CS!B23"
"Tên tiếng Việt","Product name","vi","en","cell","ĐM-TK_CS!B23"
"Kế hoạch Sản xuất (bottle)","Production Plan (bottles)","vi","en","cell","ĐM-TK_CS!C35"
"CƠ CẤU GIÁ BÁN GIAI ĐOẠN I","PHASE I SELLING PRICE STRUCTURE","vi","en","cell","Giá bán!A1"
"Tên sản phẩm","Product name","vi","en","cell","Giá bán!B2"
"Dung tích","Volume","vi","en","cell","Giá bán!C2"
"Bao bì","Packaging","vi","en","cell","Giá bán!D2"
"Qui cách đóng gói"," Packing Specifications ","vi","en","cell","Giá bán!E2"
"Số lượng (Chai)","Quantity (bottles)","vi","en","cell","Giá bán!F2"
"Giá NPP (-vat)","Distributor Price (excl. VAT)","vi","en","cell","Giá bán!G2"
"vat","VAT","vi","en","cell","Giá bán!H2"
"Giá NP (+ vat)","Distributor Price (incl. VAT)","vi","en","cell","Giá bán!I2"
"PET-Bottle","PET-Bottle","vi","en","cell","Giá bán!D3"
"2 Cases*24 chai/ Carton boxe","2 Cases*24 bottle/ctn","vi","en","cell","Giá bán!E3"
"2 Lít","2 L","vi","en","cell","Giá bán!C4"
"6 bottles/ carton boxe","6 bottles/ctn","vi","en","cell","Giá bán!E4"
"Tên Tiếng Việt","Product name","vi","en","cell","Cơ cấu SP-DT!B23"
"DOANH THU GIAI ĐOẠN I CỦA DỰ ÁN","PHASE I PROJECT REVENUE","vi","en","cell","Cơ cấu SP-DT!A44"
"Doanh thu theo SP (triệu đồng)","Revenue by Product (VND million)","vi","en","cell","Cơ cấu SP-DT!C45"
"TOTAL","TOTAL","vi","en","cell","Cơ cấu SP-DT!A54"
"NHU CẦU VỐN LƯU ĐỘNG THEO KẾ HOẠCH KINH DOANH","WORKING CAPITAL REQUIREMENT PER BUSINESS PLAN","vi","en","cell","Nhu cau VLD!A1"
"Khoản mục","Items","vi","en","cell","Nhu cau VLD!A2"
"NDT","Days","vi","en","cell","Nhu cau VLD!B2"
"HSLC","Turnover","vi","en","cell","Nhu cau VLD!C2"
"Tài sản có lưu động","Current Assets","vi","en","cell","Nhu cau VLD!A3"
"1. Khoản phải thu","1. Accounts Receivable","vi","en","cell","Nhu cau VLD!A4"
"2. Hàng tồn kho","2. Inventory","vi","en","cell","Nhu cau VLD!A5"
"_ Nguyên vật liệu","_ Raw Materials","vi","en","cell","Nhu cau VLD!A6"
"_ Thành phẩm","_ Finished Goods","vi","en","cell","Nhu cau VLD!A7"
"3. Tiền mặt","3. Cash on Hand","vi","en","cell","Nhu cau VLD!A8"
"Tài sản nợ lưu động","Current Liabilities","vi","en","cell","Nhu cau VLD!A9"
"Khoản phải trả","Accounts Payable","vi","en","cell","Nhu cau VLD!A10"
"Nhiên liệu sản xuất","Production Fuel","vi","en","cell","Nhu cau VLD!A11"
"Nguyên vật liệu","Raw Materials","vi","en","cell","Nhu cau VLD!A12"
"Điện + nước","Electricity & Water","vi","en","cell","Nhu cau VLD!A13"
"Thuê vận chuyển","Transportation Outsourcing","vi","en","cell","Nhu cau VLD!A14"
"Bảo trì bảo dưỡng","Maintenance & Repair","vi","en","cell","Nhu cau VLD!A16"
"Chi phí bán hàng","Selling Expenses","vi","en","cell","Nhu cau VLD!A17"
"Chi phí Marketting","Marketing Expenses","vi","en","cell","Nhu cau VLD!A18"
"Phải trả khác","Other Payables","vi","en","cell","Nhu cau VLD!A19"
"Nhu cầu vốn lưu động","Working Capital Requirement","vi","en","cell","Nhu cau VLD!A20"
"Tăng giảm nhu cầu vốn lưu động","Changes in Working Capital Requirement","vi","en","cell","Nhu cau VLD!A21"
"Dư nợ vay vốn lưu động","Working Capital Loan Balance","vi","en","cell","Nhu cau VLD!A23"
"Lãi suất vay vốn lưu động (%/năm)","Working Capital Interest Rate (%/year)","vi","en","cell","Nhu cau VLD!A24"
"Lãi vay vốn lưu động","Working Capital Interest Expense","vi","en","cell","Nhu cau VLD!A25"
"CƠ CẤU CHI PHÍ","COST STRUCTURE","vi","en","cell","Cơ cấu CP!A1"
"Đvt:","Unit:","vi","en","cell","Cơ cấu CP!H1"
"triệu đồng","VND million","vi","en","cell","Cơ cấu CP!I1"
"Nhóm","Group","vi","en","cell","Cơ cấu CP!A2"
"Tên chi phí","Cost name","vi","en","cell","Cơ cấu CP!B2"
"Pre-Op","Pre-Op","vi","en","cell","Cơ cấu CP!C2"
"GIÁ VỐN HÀNG BÁN","COST OF GOODS SOLD (COGS)","vi","en","cell","Cơ cấu CP!A3"
"Chi phí NVL và bao bì","Raw Materials and Packaging Costs","vi","en","cell","Cơ cấu CP!B4"
"Chi phí nhân công","Labor Costs","vi","en","cell","Cơ cấu CP!B12"
"Khối kỹ thuật và bảo trì","Technical and Maintenance Block","vi","en","cell","Cơ cấu CP!B15"
"Chi phí nhiên liệu","Fuel Costs","vi","en","cell","Cơ cấu CP!B17"
"Nước sản xuất","Water for Production","vi","en","cell","Cơ cấu CP!B19"
"Xử lý nước thải SX và sinh hoạt","Production and Domestic Wastewater Treatment","vi","en","cell","Cơ cấu CP!B20"
"Bảo trì, bảo dưỡng","Maintenance and Repair","vi","en","cell","Cơ cấu CP!B21"
"Khác","Others","vi","en","cell","Cơ cấu CP!B22"
"OPERATION EXPENSES","OPERATION EXPENSES","vi","en","cell","Cơ cấu CP!A23"
"Khấu hao (tổng)","Total Depreciation","vi","en","cell","Cơ cấu CP!B24"
"Chi phí nhân sự","Personnel Costs","vi","en","cell","Cơ cấu CP!B25"
"Chi phí hoạt động Marketing","Marketing Operating Expenses","vi","en","cell","Cơ cấu CP!B26"
"Chi phí thưởng Sales Incentive + CKTM","Sales Incentives & Trade Discounts","vi","en","cell","Cơ cấu CP!B27"
"Chi phí quản lý chung","General and Administrative Expenses (G&A)","vi","en","cell","Cơ cấu CP!B28"
"Pre-Op phân bổ","Pre-Op Amortization ","vi","en","cell","Cơ cấu CP!B30"
"Dự phòng","Provision","vi","en","cell","Cơ cấu CP!B31"
"FINANCIAL EXPENSES","FINANCIAL EXPENSES","vi","en","cell","Cơ cấu CP!A33"
"Lãi vay trung và dài hạn","Medium and Long-term Loan Interest","vi","en","cell","Cơ cấu CP!B34"
"Lãi vay lưu động","Working Capital Interest","vi","en","cell","Cơ cấu CP!B35"
"TỔNG CHI PHÍ","TOTAL COST","vi","en","cell","Cơ cấu CP!A36"
"CHI PHÍ - LỢI NHUẬN & CÂN ĐỐI NGUỒN TRẢ NỢ","COST - PROFIT & DEBT REPAYMENT BALANCE","vi","en","cell","NI và CĐ nguồn!A1"
"1.Tổng hợp chi phí – lợi nhuận","1.Summary of Costs and Profits","vi","en","cell","NI và CĐ nguồn!A2"
"Đvt: triệu đồng","Unit: VND million","vi","en","cell","NI và CĐ nguồn!F3"
"Chỉ tiêu","Indicators","vi","en","cell","NI và CĐ nguồn!A4"
"Doanh thu (Sales)","Sales","vi","en","cell","NI và CĐ nguồn!A5"
"Giá vốn (COGS)","COGS","vi","en","cell","NI và CĐ nguồn!A6"
"Lãi gộp (Gross margin)","Gross margin","vi","en","cell","NI và CĐ nguồn!A7"
"CP _ (OPERATION EXPENSES)","OPERATION EXPENSES","vi","en","cell","NI và CĐ nguồn!A8"
"EBIT","EBIT","vi","en","cell","NI và CĐ nguồn!A9"
"Lãi vay (Financial Exp)","Financial Exp","vi","en","cell","NI và CĐ nguồn!A10"
"EBT","EBT","vi","en","cell","NI và CĐ nguồn!A11"
"% Thuế TNDN","CIT Rate (%)","vi","en","cell","NI và CĐ nguồn!A12"
"Thuế TNDN phải nộp (Income tax)","Corporate Income Tax (CIT)","vi","en","cell","NI và CĐ nguồn!A13"
"Lợi nhuận sau thuế (NI)","Net Income (NI)","vi","en","cell","NI và CĐ nguồn!A14"
"% NI / Sales","% NI / Sales","vi","en","cell","NI và CĐ nguồn!A15"
"2.    Cân đối nguồn trả nợ","2.Debt Repayment Balance","vi","en","cell","NI và CĐ nguồn!A16"
"Nguồn trả nợ","Debt Service Sources","vi","en","cell","NI và CĐ nguồn!A18"
"Khấu hao","Depreciation","vi","en","cell","NI và CĐ nguồn!A19"
"Lợi nhuận sau thuế","Net Income (NI)","vi","en","cell","NI và CĐ nguồn!A20"
"Nợ phải trả","Accounts Payable","vi","en","cell","NI và CĐ nguồn!A21"
"Nợ vay trung hạn","Medium-term Debt","vi","en","cell","NI và CĐ nguồn!A22"
"Thừa thiếu nguồn trả","Debt Service Surplus/Deficit","vi","en","cell","NI và CĐ nguồn!A23"
"Lũy kế +/- nguồn trả nợ","Cumulative +/- Debt Service Sources","vi","en","cell","NI và CĐ nguồn!A24"
"LỊCH TRẢ NỢ","DEBT REPAYMENT SCHEDULE","vi","en","cell","Lịch trả nợ!A1"
"Chỉ tiêu
(triệu VND)","Indicators (VND million)","vi","en","cell","Lịch trả nợ!A2"
"Trả gốc","Prin.","vi","en","cell","Lịch trả nợ!B3"
"Dư nợ","Bal.","vi","en","cell","Lịch trả nợ!C3"
"Lãi","Int.","vi","en","cell","Lịch trả nợ!D3"
"Dư nợ đầu kỳ","Beginning Balance","vi","en","cell","Lịch trả nợ!A4"
"T1","Month 1","vi","en","cell","Lịch trả nợ!A5"
"T2","Month 2","vi","en","cell","Lịch trả nợ!A6"
"T3","Month 3","vi","en","cell","Lịch trả nợ!A7"
"T4","Month 4","vi","en","cell","Lịch trả nợ!A8"
"T5","Month 5","vi","en","cell","Lịch trả nợ!A9"
"T6","Month 6","vi","en","cell","Lịch trả nợ!A10"
"T7","Month 7","vi","en","cell","Lịch trả nợ!A11"
"T8","Month 8","vi","en","cell","Lịch trả nợ!A12"
"T9","Month 9","vi","en","cell","Lịch trả nợ!A13"
"T10","Month 10","vi","en","cell","Lịch trả nợ!A14"
"T11","Month 11","vi","en","cell","Lịch trả nợ!A15"
"T12","Month 12","vi","en","cell","Lịch trả nợ!A16"
"Dư nợ vay đầu kỳ","Beginning Loan Balance","vi","en","cell","Lịch trả nợ!A20"
"Trả nợ vay trong kỳ","Debt Repayment during period","vi","en","cell","Lịch trả nợ!A21"
"_ Trả gốc","_ Principal Repayment","vi","en","cell","Lịch trả nợ!A22"
"_ Trả lãi","_ Interest Payment","vi","en","cell","Lịch trả nợ!A23"
"Dư nợ cuối kỳ","Ending Balance","vi","en","cell","Lịch trả nợ!A24"
"ĐÁNH GIÁ HIỆU QUẢ CỦA DÒNG TIỀN TRONG DỰ ÁN","PROJECT CASH FLOW EFFICIENCY ASSESSMENT","vi","en","cell","Đanh giá hiệu quả CF!A1"
"Ngân lưu và hiệu quả dự án theo quan điểm tổng đầu tư","Cash flow and project efficiency (Total Investment perspective)","vi","en","cell","Đanh giá hiệu quả CF!A2"
"Năm","Year ","vi","en","cell","Đanh giá hiệu quả CF!A3"
"NGÂN LƯU HĐ SXKD","Operating Cash Flow","vi","en","cell","Đanh giá hiệu quả CF!A4"
"LN sau thuế","Net Income (NI)","vi","en","cell","Đanh giá hiệu quả CF!A5"
"Lãi vay","Interest Expense","vi","en","cell","Đanh giá hiệu quả CF!A7"
"Ngân lưu ròng HĐKD","Net Operating Cash Flow","vi","en","cell","Đanh giá hiệu quả CF!A8"
"NGÂN LƯU HĐ ĐẦU TƯ","Investment Cash Flow","vi","en","cell","Đanh giá hiệu quả CF!A9"
"Chi đầu tư","Capital Expenditure (CAPEX)","vi","en","cell","Đanh giá hiệu quả CF!A10"
"Giá trị thu hồi","Salvage Value","vi","en","cell","Đanh giá hiệu quả CF!A11"
"Ngân lưu ròng đầu tư","Net Investment Cash Flow","vi","en","cell","Đanh giá hiệu quả CF!A12"
"NGÂN LƯU RÒNG","Net Cash Flow","vi","en","cell","Đanh giá hiệu quả CF!A13"
"Lũy kế ngân lưu","Cumulative Cash Flow","vi","en","cell","Đanh giá hiệu quả CF!A14"
"Non-discounted PP","Non-discounted PP","vi","en","cell","Đanh giá hiệu quả CF!A15"
"02 năm 08 tháng","02 years 08 months","vi","en","cell","Đanh giá hiệu quả CF!B15"
"Discounted net cash flow","Discounted net cash flow","vi","en","cell","Đanh giá hiệu quả CF!A16"
"Accumulate discounted cash flow","Accumulate discounted cash flow","vi","en","cell","Đanh giá hiệu quả CF!A17"
"Discounted PP","Discounted PP","vi","en","cell","Đanh giá hiệu quả CF!A18"
"02 năm 11 tháng","02 years 11 months","vi","en","cell","Đanh giá hiệu quả CF!B18"
"WACC","WACC","vi","en","cell","Đanh giá hiệu quả CF!A20"
"NPV - TIPV","NPV - TIPV","vi","en","cell","Đanh giá hiệu quả CF!A21"
"IRR -TIPV","IRR -TIPV","vi","en","cell","Đanh giá hiệu quả CF!A22"
